Proposal ID,Investigator1,Investigator2
GRT00028841,"Kirschner, Lawrence S.","Ringel, Matthew David"
GRT00028841,"Kirschner, Lawrence S.","Saji, Motoyasu"
GRT00028841,"Ringel, Matthew David","Saji, Motoyasu"
GRT00028843,"Sertel, Kubilay","Nahar, Niru Kamrun"
GRT00028844,"Chan, Michael Kenneth","Finer, John James"
GRT00028848,"Lower, Steven K","Casillas-Ituarte, Nadia"
GRT00028851,"Olesik, Susan Virginia","Irving, Karen Elizabeth"
GRT00028851,"Olesik, Susan Virginia","Tomasko, David Lane"
GRT00028851,"Irving, Karen Elizabeth","Tomasko, David Lane"
GRT00028853,"Denning, Richard Smith","Smidts, Carol S."
GRT00028853,"Denning, Richard Smith","Sun, Xiaodong"
GRT00028853,"Smidts, Carol S.","Sun, Xiaodong"
GRT00028854,"Sun, Xiaodong","Smidts, Carol S."
GRT00028859,"Wiet, Gregory James","Litsky, Alan S"
GRT00028859,"Wiet, Gregory James","Stredney, Donald L"
GRT00028859,"Litsky, Alan S","Stredney, Donald L"
GRT00028861,"Kolipaka, Arunark","Arnold, John W"
GRT00028861,"Kolipaka, Arunark","Dittmar, Kristin Marie"
GRT00028861,"Kolipaka, Arunark","Jia, Guang"
GRT00028861,"Kolipaka, Arunark","Lee, Francis P"
GRT00028861,"Kolipaka, Arunark","Raman, Subha Venkat"
GRT00028861,"Kolipaka, Arunark","Simonetti, Orlando Paul"
GRT00028861,"Kolipaka, Arunark","White, Richard Donald"
GRT00028861,"Kolipaka, Arunark","Yuh, William T.C."
GRT00028861,"Arnold, John W","Dittmar, Kristin Marie"
GRT00028861,"Arnold, John W","Jia, Guang"
GRT00028861,"Arnold, John W","Lee, Francis P"
GRT00028861,"Arnold, John W","Raman, Subha Venkat"
GRT00028861,"Arnold, John W","Simonetti, Orlando Paul"
GRT00028861,"Arnold, John W","White, Richard Donald"
GRT00028861,"Arnold, John W","Yuh, William T.C."
GRT00028861,"Dittmar, Kristin Marie","Jia, Guang"
GRT00028861,"Dittmar, Kristin Marie","Lee, Francis P"
GRT00028861,"Dittmar, Kristin Marie","Raman, Subha Venkat"
GRT00028861,"Dittmar, Kristin Marie","Simonetti, Orlando Paul"
GRT00028861,"Dittmar, Kristin Marie","White, Richard Donald"
GRT00028861,"Dittmar, Kristin Marie","Yuh, William T.C."
GRT00028861,"Jia, Guang","Lee, Francis P"
GRT00028861,"Jia, Guang","Raman, Subha Venkat"
GRT00028861,"Jia, Guang","Simonetti, Orlando Paul"
GRT00028861,"Jia, Guang","White, Richard Donald"
GRT00028861,"Jia, Guang","Yuh, William T.C."
GRT00028861,"Lee, Francis P","Raman, Subha Venkat"
GRT00028861,"Lee, Francis P","Simonetti, Orlando Paul"
GRT00028861,"Lee, Francis P","White, Richard Donald"
GRT00028861,"Lee, Francis P","Yuh, William T.C."
GRT00028861,"Raman, Subha Venkat","Simonetti, Orlando Paul"
GRT00028861,"Raman, Subha Venkat","White, Richard Donald"
GRT00028861,"Raman, Subha Venkat","Yuh, William T.C."
GRT00028861,"Simonetti, Orlando Paul","White, Richard Donald"
GRT00028861,"Simonetti, Orlando Paul","Yuh, William T.C."
GRT00028861,"White, Richard Donald","Yuh, William T.C."
GRT00028862,"Davis, Ian C","Drost, Wm Tod"
GRT00028862,"Davis, Ian C","Pressler, Barrak Michael"
GRT00028862,"Drost, Wm Tod","Pressler, Barrak Michael"
GRT00028866,"Butalia, Tarunjit Singh","Cheng, Chin-Min"
GRT00028867,"Gregory, James W","McNamara, Jack Joseph"
GRT00028872,"O'Malley, David M","Hays, John L"
GRT00028874,"Castro, Carlos Ernesto","Su, Haijun"
GRT00028886,"Norton, Robert E","Mahlman, Robert Alan"
GRT00028888,"Pradhan, Anil Kumar","Nahar, Sultana N"
GRT00028891,"Lustberg, Maryam Beheshti","Cheavens, Jennifer S"
GRT00028891,"Lustberg, Maryam Beheshti","DeVries, Anne Courtney"
GRT00028891,"Lustberg, Maryam Beheshti","Knopp, Michael"
GRT00028891,"Lustberg, Maryam Beheshti","Pan, Xueliang"
GRT00028891,"Cheavens, Jennifer S","DeVries, Anne Courtney"
GRT00028891,"Cheavens, Jennifer S","Knopp, Michael"
GRT00028891,"Cheavens, Jennifer S","Pan, Xueliang"
GRT00028891,"DeVries, Anne Courtney","Knopp, Michael"
GRT00028891,"DeVries, Anne Courtney","Pan, Xueliang"
GRT00028891,"Knopp, Michael","Pan, Xueliang"
GRT00028892,"Toland, Amanda E","La Perle, Krista Marie Dubray"
GRT00028892,"Toland, Amanda E","Zhang, Jianying"
GRT00028892,"La Perle, Krista Marie Dubray","Zhang, Jianying"
GRT00028895,"Jacob, Naduparambil K","Velayutham, Murugesan"
GRT00028897,"Wickizer, Thomas Michael","Sieck, Cynthia Judine"
GRT00028898,"Yilmaz, Burak","Clelland, Nancy Lynne"
GRT00028898,"Yilmaz, Burak","Knobloch, Lisa Ann"
GRT00028898,"Yilmaz, Burak","McGlumphy, Edwin Alonzo"
GRT00028898,"Clelland, Nancy Lynne","Knobloch, Lisa Ann"
GRT00028898,"Clelland, Nancy Lynne","McGlumphy, Edwin Alonzo"
GRT00028898,"Knobloch, Lisa Ann","McGlumphy, Edwin Alonzo"
GRT00028902,"Taylor, Christopher Alan","Wexler, Randell"
GRT00028906,"Schlesinger, Larry Seth","Chen, Ching-Shih"
