Proposal ID,Name,PI
GRT00029188,"Goodfellow, Paul Joseph",1
GRT00029189,"Rafael-Fortney, Jill A",1
GRT00029190,"Burghes, Arthur Harry Macleo",1
GRT00029191,"Phieffer, Laura Senunas",1
GRT00029192,"Menon, Usha",1
GRT00029193,"Kloos, Anne Dillman",1
GRT00029194,"Foust, Kevin D.",1
GRT00029195,"Sauerbeck, Andrew David",1
GRT00029196,"Kaeding, Christopher Carl",1
GRT00029197,"Puga, Denise",1
GRT00029198,"Wu, Li",1
GRT00029199,"London, Cheryl A",1
GRT00029200,"Schwartz, Steven Jay",1
GRT00029201,"Sezen, Halil",1
GRT00029202,"Wolfe, William Edward",1
GRT00029203,"Ma, Jiyan",1
GRT00029204,"Gosnell, Elizabeth Sutton",1
GRT00029205,"Michel, Andrew P.",1
GRT00029206,"Meeker, Kathleen Artman",1
GRT00029208,"Ertin, Emre",1
GRT00029210,"Ertin, Emre",1
GRT00029211,"Koksal, Can EMRE",1
GRT00029212,"Ekici, Eylem",1
GRT00029213,"Wang, Jin",1
GRT00029214,"Ringel, Steven Adam",1
GRT00029215,"Downey, Douglas B",1
GRT00029216,"Maddocks, Kami J",1
GRT00029218,"Kagan, Harris P",1
GRT00029219,"Sooryakumar, Ratnasingham",1
GRT00029220,"Lillard, Dean R",1
GRT00029221,"Blum, William George",1
GRT00029222,"Dorrance, Anne E",1
GRT00029223,"Dorrance, Anne E",1
GRT00029224,"Lillard, Dean R",1
GRT00029225,"Lyvers Peffer, Pasha A",1
GRT00029226,"Sinha, Prasun",1
GRT00029227,"Li, Rongxing",1
GRT00029232,"Jourdan, Pablo Samuel",1
GRT00029235,"Embi, Peter Joseph",1
GRT00029236,"Sneller, Clay Hurd",1
GRT00029237,"Daniels, Curt John",1
GRT00029238,"Madden, Laurence Vincent",1
GRT00029239,"Schmitt, Laura Clare",1
GRT00029240,"Madden, Laurence Vincent",1
GRT00029241,"Kowalczyk, Nina Kaye",1
GRT00029242,"Quatman, Carmen E.",1
GRT00029243,"Lee, L James",1
GRT00029244,"Ho, W.S. Winston Winston",1
GRT00029245,"Lofthouse, Nicholas",1
GRT00029246,"Li, Chenglong",1
GRT00029247,"DiGiovine, Carmen P",1
GRT00029248,"Sykes, Dennis John",1
GRT00029249,"Catalyurek, Umit V.",1
GRT00029250,"McDowell, Joyce Rae",1
GRT00029251,"Jones, Grant Lloyd",1
GRT00029252,"Saif, Linda Jean",1
GRT00029253,"Wang, Xiaorui",1
GRT00029254,"Zhao, Yi",1
GRT00029255,"Lezama-Davila, Claudio M.",1
GRT00029256,"Lu, Wu",1
GRT00029257,"Schniter, Philip",1
GRT00029258,"Rajanbabu, Thaliyil V",1
GRT00029259,"Worley, Charles Thomas",1
GRT00029260,"Dechow, C Sue",1
