Award ID,Name,PI,comma_loc,Name_fm,Name_l,Name_fml
GRT00022273,"Magliery, Thomas John",1,9,Thomas John,Magliery,thomas john magliery
GRT00022280,"Benson Jr., Don Michael",1,11,Don Michael,Benson Jr.,don michael benson jr
GRT00022294,"Knopp, Michael",1,6,Michael,Knopp,michael knopp
GRT00022295,"Sood, Namita",1,5,Namita,Sood,namita sood
GRT00022321,"Daoud, Emile Georges",1,6,Emile Georges,Daoud,emile georges daoud
GRT00022347,"Scharre, Douglas William",1,8,Douglas William,Scharre,douglas william scharre
GRT00022353,"Sun, Qinghua",1,4,Qinghua,Sun,qinghua sun
GRT00022357,"McTigue, Dana Marie",1,8,Dana Marie,McTigue,dana marie mctigue
GRT00022374,"Tabita, Fred Robert",1,7,Fred Robert,Tabita,fred robert tabita
GRT00022404,"Cooksey, Elizabeth Constance",1,8,Elizabeth Constance,Cooksey,elizabeth constance cooksey
GRT00022434,"Stredney, Donald L",1,9,Donald L,Stredney,donald l stredney
GRT00022449,"Shum, C K",1,5,C K,Shum,c k shum
GRT00022508,"Benson Jr., Don Michael",1,11,Don Michael,Benson Jr.,don michael benson jr
GRT00022551,"Ryan, Thomas",1,5,Thomas,Ryan,thomas ryan
GRT00022588,"Schwartz, Steven Jay",1,9,Steven Jay,Schwartz,steven jay schwartz
GRT00022624,"White, Susan Elizabeth",1,6,Susan Elizabeth,White,susan elizabeth white
GRT00022645,"Iams, Jay Donald",1,5,Jay Donald,Iams,jay donald iams
GRT00022661,"Shum, C K",1,5,C K,Shum,c k shum
GRT00022664,"Kisanuki, Yasushi",1,9,Yasushi,Kisanuki,yasushi kisanuki
GRT00022676,"Rajan, Siddharth",1,6,Siddharth,Rajan,siddharth rajan
GRT00022679,"Beattie, Christine E",1,8,Christine E,Beattie,christine e beattie
GRT00022738,"Diaz, Philip Tomas",1,5,Philip Tomas,Diaz,philip tomas diaz
GRT00022802,"Bumgardner, Ginny L",1,11,Ginny L,Bumgardner,ginny l bumgardner
GRT00022838,"Jaglowski, Samantha Mary",1,10,Samantha Mary,Jaglowski,samantha mary jaglowski
GRT00022848,"Strayhorn, Terrell Lamont",1,10,Terrell Lamont,Strayhorn,terrell lamont strayhorn
GRT00022857,"Beatty, James Justin",1,7,James Justin,Beatty,james justin beatty
GRT00022896,"Nelson, Randy J",1,7,Randy J,Nelson,randy j nelson
GRT00022902,"Baiocchi, Robert A",1,9,Robert A,Baiocchi,robert a baiocchi
GRT00022912,"Koletar, Susan Lynn",1,8,Susan Lynn,Koletar,susan lynn koletar
GRT00022929,"Daoud, Emile Georges",1,6,Emile Georges,Daoud,emile georges daoud
GRT00022932,"Whitson, Bryan Alan",1,8,Bryan Alan,Whitson,bryan alan whitson
GRT00022933,"Hasan, Ayesha Khalid",1,6,Ayesha Khalid,Hasan,ayesha khalid hasan
GRT00022958,"Benson Jr., Don Michael",1,11,Don Michael,Benson Jr.,don michael benson jr
GRT00022968,"Rushing, Gregory",1,8,Gregory,Rushing,gregory rushing
